,Дата,Курс
0,2010-01-01,43.4605
1,2010-01-12,42.6681
2,2010-01-13,42.6149
3,2010-01-14,42.9497
4,2010-01-15,42.7764
5,2010-01-16,42.5905
6,2010-01-19,42.5654
7,2010-01-20,42.5094
8,2010-01-21,42.1478
9,2010-01-22,41.9485
10,2010-01-23,42.0576
11,2010-01-26,42.5808
12,2010-01-27,42.7058
13,2010-01-28,42.5574
14,2010-01-29,42.5842
15,2010-01-30,42.4637
16,2010-02-02,42.219
17,2010-02-03,42.051
18,2010-02-04,41.7633
19,2010-02-05,41.6115
20,2010-02-06,41.7179
21,2010-02-09,41.6937
22,2010-02-10,41.6998
23,2010-02-11,41.6551
24,2010-02-12,41.5085
25,2010-02-13,41.1737
26,2010-02-16,41.1092
27,2010-02-17,41.1467
28,2010-02-18,41.2561
29,2010-02-19,40.8825
30,2010-02-20,40.6285
31,2010-02-25,40.6498
32,2010-02-26,40.5012
33,2010-02-27,40.7566
34,2010-02-28,40.8047
35,2010-03-02,40.7377
36,2010-03-03,40.5271
37,2010-03-04,40.6007
38,2010-03-05,40.7215
39,2010-03-06,40.5211
40,2010-03-10,40.4866
41,2010-03-11,40.3367
42,2010-03-12,40.2469
43,2010-03-13,40.261
44,2010-03-16,40.3272
45,2010-03-17,40.2347
46,2010-03-18,40.283
47,2010-03-19,39.9586
48,2010-03-20,39.8357
49,2010-03-23,39.6339
50,2010-03-24,39.8238
51,2010-03-25,39.7152
52,2010-03-26,39.5301
53,2010-03-27,39.3808
54,2010-03-30,39.8654
55,2010-03-31,39.7028
56,2010-04-01,39.5713
57,2010-04-02,39.7255
58,2010-04-03,39.6303
59,2010-04-06,39.3922
60,2010-04-07,39.2568
61,2010-04-08,39.1866
62,2010-04-09,39.1524
63,2010-04-10,39.2286
64,2010-04-13,39.4982
65,2010-04-14,39.4829
66,2010-04-15,39.6253
67,2010-04-16,39.4387
68,2010-04-17,39.2723
69,2010-04-20,39.2873
70,2010-04-21,39.2199
71,2010-04-22,39.0919
72,2010-04-23,39.0413
73,2010-04-24,38.7445
74,2010-04-27,38.8706
75,2010-04-28,38.8534
76,2010-04-29,38.7817
77,2010-04-30,38.702
78,2010-05-01,38.6986
79,2010-05-05,38.6004
80,2010-05-06,38.5143
81,2010-05-07,38.6833
82,2010-05-08,38.949
83,2010-05-12,38.5948
84,2010-05-13,38.194
85,2010-05-14,37.8412
86,2010-05-15,37.7282
87,2010-05-18,37.7562
88,2010-05-19,37.6224
89,2010-05-20,37.4206
90,2010-05-21,38.0406
91,2010-05-22,39.0115
92,2010-05-25,38.6159
93,2010-05-26,38.6046
94,2010-05-27,38.5119
95,2010-05-28,37.9869
96,2010-05-29,37.6316
97,2010-06-01,37.8133
98,2010-06-02,38.033
99,2010-06-03,38.1111
100,2010-06-04,38.0117
101,2010-06-05,37.8476
102,2010-06-08,37.9165
103,2010-06-09,37.8333
104,2010-06-10,37.943
105,2010-06-11,38.0217
106,2010-06-12,38.0982
107,2010-06-16,38.3303
108,2010-06-17,38.4192
109,2010-06-18,38.2614
110,2010-06-19,38.256
111,2010-06-22,38.267
112,2010-06-23,38.033
113,2010-06-24,38.0242
114,2010-06-25,38.2352
115,2010-06-26,38.3324
116,2010-06-29,38.3139
117,2010-06-30,38.1863
118,2010-07-01,38.2097
119,2010-07-02,38.3031
120,2010-07-03,38.9928
121,2010-07-06,39.0305
122,2010-07-07,39.1021
123,2010-07-08,39.1326
124,2010-07-09,39.1615
125,2010-07-10,39.1285
126,2010-07-13,38.8716
127,2010-07-14,38.7345
128,2010-07-15,38.809
129,2010-07-16,38.9053
130,2010-07-17,39.3258
131,2010-07-20,39.4373
132,2010-07-21,39.5306
133,2010-07-22,39.2145
134,2010-07-23,38.9503
135,2010-07-24,39.1253
136,2010-07-27,39.1999
137,2010-07-28,39.3139
138,2010-07-29,39.335
139,2010-07-30,39.3671
140,2010-07-31,39.4694
141,2010-08-03,39.4653
142,2010-08-04,39.45
143,2010-08-05,39.3781
144,2010-08-06,39.2404
145,2010-08-07,39.3593
146,2010-08-10,39.611
147,2010-08-11,39.5235
148,2010-08-12,39.4417
149,2010-08-13,39.3009
150,2010-08-14,39.2173
151,2010-08-17,39.0868
152,2010-08-18,39.1148
153,2010-08-19,39.0514
154,2010-08-20,39.03
155,2010-08-21,39.0923
156,2010-08-24,38.9131
157,2010-08-25,38.8662
158,2010-08-26,39.0894
159,2010-08-27,39.1911
160,2010-08-28,39.0311
161,2010-08-31,39.0291
162,2010-09-01,39.0127
163,2010-09-02,39.1654
164,2010-09-03,39.2901
165,2010-09-04,39.3505
166,2010-09-07,39.472
167,2010-09-08,39.3215
