,y,euro_rate,month,is_yearend
0,137,42.57379375,1,0
1,156,41.30677894736842,2,0
2,174,40.13002380952381,3,0
3,256,39.22971363636364,4,0
4,192,38.263473684210524,5,0
5,169,38.10896666666667,6,0
6,164,39.07175217391305,7,0
7,180,39.21346666666667,8,0
8,187,40.09299545454545,9,0
9,188,42.085536363636365,10,0
10,170,42.32888,11,0
11,167,40.78209130434783,12,1
12,158,40.22191333333333,1,0
13,214,40.01045263157894,2,0
14,253,39.798913636363636,3,0
15,250,40.552468181818185,4,0
16,166,40.01653684210527,5,0
17,173,40.26329047619048,6,0
18,136,39.907436363636364,7,0
19,170,41.21725909090909,8,0
20,157,42.19585,9,0
21,162,42.921757142857146,10,0
22,153,41.86537142857143,11,0
23,136,41.49423913043478,12,1
24,151,40.272166666666664,1,0
25,164,39.482235,2,0
26,195,38.78750909090909,3,0
27,243,38.81446666666667,4,0
28,171,39.441205000000004,5,0
29,185,41.21310476190476,6,0
30,181,40.01689523809524,7,0
31,187,39.57067826086956,8,0
32,155,40.463519047619044,9,0
33,144,40.33854090909091,10,0
34,125,40.293280952380954,11,0
35,165,40.31327272727273,12,1
36,152,40.2749375,1,0
37,181,40.375209999999996,2,0
38,175,39.935566666666666,3,0
39,141,40.77988571428572,4,0
40,99,40.54167777777778,5,0
41,181,42.59481,6,0
42,150,42.81303181818182,7,0
43,186,43.969321739130436,8,0
44,125,43.4832,9,0
45,150,43.74767826086956,10,0
46,156,44.15250952380953,11,0
47,143,45.02860952380953,12,1
48,125,46.058758823529416,1,0
49,136,48.106415,2,0
50,199,50.031365,3,0
51,161,49.24076818181818,4,0
52,125,47.837295,5,0
53,136,46.86308333333333,6,0
54,148,46.95678695652174,7,0
55,150,48.09929090909091,8,0
56,143,48.97813333333333,9,0
57,163,51.75546086956522,10,0
58,241,57.68354736842105,11,0
59,278,68.76348181818182,12,1
60,43,75.3377125,1,0
61,76,73.29496315789474,2,0
62,135,65.41292,3,0
63,79,57.35715,4,0
64,64,56.306305263157896,5,0
65,71,61.10389,6,0
66,62,62.98847826086956,7,0
67,119,72.83989523809524,8,0
68,98,75.03959545454546,9,0
69,98,71.04058260869566,10,0
70,76,69.8765052631579,11,0
71,102,75.78508695652174,12,1
72,76,84.7717375,1,0
73,58,85.95398421052631,2,0
74,76,78.14841904761904,3,0
75,70,75.60655,4,0
76,59,74.3600111111111,5,0
77,46,73.2865,6,0
78,51,71.1954909090909,7,0
79,47,72.7963409090909,8,0
80,60,72.36257727272726,9,0
81,49,69.12535238095238,10,0
82,68,69.53885238095238,11,0
83,69,65.51931304347826,12,1
84,422,63.563418750000004,1,0
85,486,62.40105555555556,2,0
86,722,62.00028636363636,3,0
87,596,60.460904761904764,4,0
88,580,62.95527368421053,5,0
89,572,64.96590476190477,6,0
90,518,68.62092380952382,7,0
91,668,70.3716,8,0
92,639,68.79167272727273,9,0
93,613,67.85532857142857,10,0
94,629,69.13203333333334,11,0
95,530,69.33787727272727,12,1
96,584,69.02,1,0
97,560,70.30125263157895,2,0
98,711,70.3558619047619,3,0
99,703,74.64851428571428,4,0
100,755,73.51863157894736,5,0
101,631,73.26981428571428,6,0
102,610,73.44673333333333,7,0
103,758,76.29870000000001,8,0
104,760,78.89983333333333,9,0
105,720,75.71962272727272,10,0
106,698,75.41989523809524,11,0
107,729,76.65442727272728,12,1
108,325,75.9632125,1,0
109,505,74.72684000000001,2,0
110,637,73.66820952380952,3,0
111,658,72.62304761904763,4,0
112,526,72.49447777777777,5,0
113,604,72.39603,6,0
114,602,70.9685909090909,7,0
115,576,72.9703695652174,8,0
116,613,71.55244,9,0
117,628,71.0582347826087,10,0
118,722,70.60821428571428,11,0
119,738,69.89192857142856,12,1
120,587,68.57083529411766,1,0
121,686,69.852565,2,0
122,921,81.49284736842105,3,0
123,119,81.21167222222222,4,0
124,282,78.96706666666665,5,0
125,789,77.88653000000001,6,0
126,1085,81.48829565217392,7,0
127,782,87.28022857142858,8,0
128,780,89.36072727272727,9,0
129,817,91.3897347826087,10,0
130,808,90.9064105263158,11,0
131,662,90.20871739130435,12,1
132,624,90.38354375,1,0
133,658,89.87867894736841,2,0
134,905,88.63092380952381,3,0
135,1012,90.90608181818182,4,0
136,847,89.87872631578948,5,0
137,596,87.6070380952381,6,0
138,511,87.36993913043477,7,0
139,531,86.59522857142858,8,0
140,631,85.93539090909091,9,0
141,307,82.90047727272727,10,0
142,240,82.89342105263158,11,0
143,421,83.37078260869565,12,1
