,ds,y
0,2010-01-01,0
1,2010-01-02,0
2,2010-01-03,0
3,2010-01-04,0
4,2010-01-05,1
5,2010-01-06,0
6,2010-01-07,1
7,2010-01-08,2
8,2010-01-09,1
9,2010-01-10,1
10,2010-01-11,2
11,2010-01-12,6
12,2010-01-13,6
13,2010-01-14,5
14,2010-01-15,6
15,2010-01-16,6
16,2010-01-17,9
17,2010-01-18,9
18,2010-01-19,7
19,2010-01-20,4
20,2010-01-21,3
21,2010-01-22,5
22,2010-01-23,7
23,2010-01-24,2
24,2010-01-25,7
25,2010-01-26,10
26,2010-01-27,13
27,2010-01-28,6
28,2010-01-29,6
29,2010-01-30,5
30,2010-01-31,7
31,2010-02-01,3
32,2010-02-02,8
33,2010-02-03,5
34,2010-02-04,6
35,2010-02-05,6
36,2010-02-06,5
37,2010-02-07,5
38,2010-02-08,10
39,2010-02-09,10
40,2010-02-10,6
41,2010-02-11,8
42,2010-02-12,9
43,2010-02-13,4
44,2010-02-14,6
45,2010-02-15,7
46,2010-02-16,12
47,2010-02-17,6
48,2010-02-18,8
49,2010-02-19,11
50,2010-02-20,0
51,2010-02-21,1
52,2010-02-22,5
53,2010-02-23,0
54,2010-02-24,3
55,2010-02-25,4
56,2010-02-26,4
57,2010-02-27,2
58,2010-02-28,2
59,2010-03-01,6
60,2010-03-02,7
61,2010-03-03,3
62,2010-03-04,6
63,2010-03-05,5
64,2010-03-06,3
65,2010-03-07,4
66,2010-03-08,3
67,2010-03-09,6
68,2010-03-10,4
69,2010-03-11,7
70,2010-03-12,0
71,2010-03-13,1
72,2010-03-14,5
73,2010-03-15,6
74,2010-03-16,7
75,2010-03-17,9
76,2010-03-18,5
77,2010-03-19,3
78,2010-03-20,6
79,2010-03-21,6
80,2010-03-22,7
81,2010-03-23,18
82,2010-03-24,8
83,2010-03-25,4
84,2010-03-26,10
85,2010-03-27,8
86,2010-03-28,0
87,2010-03-29,7
88,2010-03-30,5
89,2010-03-31,5
90,2010-04-01,8
91,2010-04-02,8
92,2010-04-03,8
93,2010-04-04,6
94,2010-04-05,2
95,2010-04-06,11
96,2010-04-07,6
97,2010-04-08,10
98,2010-04-09,4
99,2010-04-10,7
100,2010-04-11,2
101,2010-04-12,10
102,2010-04-13,10
103,2010-04-14,9
104,2010-04-15,10
105,2010-04-16,8
106,2010-04-17,7
107,2010-04-18,2
108,2010-04-19,15
109,2010-04-20,12
110,2010-04-21,12
111,2010-04-22,15
112,2010-04-23,16
113,2010-04-24,4
114,2010-04-25,2
115,2010-04-26,18
116,2010-04-27,11
117,2010-04-28,4
118,2010-04-29,6
119,2010-04-30,13
120,2010-05-01,4
121,2010-05-02,2
122,2010-05-03,2
123,2010-05-04,14
124,2010-05-05,10
125,2010-05-06,10
126,2010-05-07,9
127,2010-05-08,5
128,2010-05-09,2
129,2010-05-10,5
130,2010-05-11,8
131,2010-05-12,8
132,2010-05-13,3
133,2010-05-14,9
134,2010-05-15,4
135,2010-05-16,3
136,2010-05-17,7
137,2010-05-18,7
138,2010-05-19,17
139,2010-05-20,4
140,2010-05-21,7
141,2010-05-22,5
142,2010-05-23,6
143,2010-05-24,9
144,2010-05-25,5
145,2010-05-26,5
146,2010-05-27,2
147,2010-05-28,5
148,2010-05-29,4
149,2010-05-30,6
150,2010-05-31,5
151,2010-06-01,8
152,2010-06-02,10
153,2010-06-03,3
154,2010-06-04,2
155,2010-06-05,2
156,2010-06-06,0
157,2010-06-07,7
158,2010-06-08,6
159,2010-06-09,9
160,2010-06-10,12
161,2010-06-11,7
162,2010-06-12,2
163,2010-06-13,1
164,2010-06-14,2
165,2010-06-15,12
166,2010-06-16,6
167,2010-06-17,5
168,2010-06-18,7
169,2010-06-19,5
170,2010-06-20,4
171,2010-06-21,5
172,2010-06-22,5
173,2010-06-23,6
174,2010-06-24,6
175,2010-06-25,10
176,2010-06-26,7
177,2010-06-27,4
178,2010-06-28,4
179,2010-06-29,4
180,2010-06-30,8
181,2010-07-01,12
182,2010-07-02,5
183,2010-07-03,3
184,2010-07-04,3
185,2010-07-05,5
186,2010-07-06,3
187,2010-07-07,7
188,2010-07-08,5
189,2010-07-09,5
190,2010-07-10,3
191,2010-07-11,2
192,2010-07-12,4
193,2010-07-13,2
194,2010-07-14,5
195,2010-07-15,5
196,2010-07-16,4
197,2010-07-17,8
198,2010-07-18,2
199,2010-07-19,3
200,2010-07-20,6
201,2010-07-21,3
202,2010-07-22,8
203,2010-07-23,10
204,2010-07-24,1
205,2010-07-25,4
206,2010-07-26,7
207,2010-07-27,7
208,2010-07-28,12
209,2010-07-29,4
210,2010-07-30,8
211,2010-07-31,8
212,2010-08-01,3
213,2010-08-02,3
214,2010-08-03,4
215,2010-08-04,3
216,2010-08-05,3
217,2010-08-06,8
218,2010-08-07,2
219,2010-08-08,0
220,2010-08-09,7
