ds,y
2010-01-01,137
2010-02-01,156
2010-03-01,174
2010-04-01,256
2010-05-01,192
2010-06-01,169
2010-07-01,164
2010-08-01,180
2010-09-01,187
2010-10-01,188
2010-11-01,170
2010-12-01,167
2011-01-01,158
2011-02-01,214
2011-03-01,253
2011-04-01,250
2011-05-01,166
2011-06-01,173
2011-07-01,136
2011-08-01,170
2011-09-01,157
2011-10-01,162
2011-11-01,153
2011-12-01,136
2012-01-01,151
2012-02-01,164
2012-03-01,195
2012-04-01,243
2012-05-01,171
2012-06-01,185
2012-07-01,181
2012-08-01,187
2012-09-01,155
2012-10-01,144
2012-11-01,125
2012-12-01,165
2013-01-01,152
2013-02-01,181
2013-03-01,175
2013-04-01,141
2013-05-01,99
2013-06-01,181
2013-07-01,150
2013-08-01,186
2013-09-01,125
2013-10-01,150
2013-11-01,156
2013-12-01,143
2014-01-01,125
2014-02-01,136
2014-03-01,199
2014-04-01,161
2014-05-01,125
2014-06-01,136
2014-07-01,148
2014-08-01,150
2014-09-01,143
2014-10-01,163
2014-11-01,241
2014-12-01,278
2015-01-01,43
2015-02-01,76
2015-03-01,135
2015-04-01,79
2015-05-01,64
2015-06-01,71
2015-07-01,62
2015-08-01,119
2015-09-01,98
2015-10-01,98
2015-11-01,76
2015-12-01,102
2016-01-01,76
2016-02-01,58
2016-03-01,76
2016-04-01,70
2016-05-01,59
2016-06-01,46
2016-07-01,51
2016-08-01,47
2016-09-01,60
2016-10-01,49
2016-11-01,68
2016-12-01,69
2017-01-01,422
2017-02-01,486
2017-03-01,722
2017-04-01,596
2017-05-01,580
2017-06-01,572
2017-07-01,518
2017-08-01,668
2017-09-01,639
2017-10-01,613
2017-11-01,629
2017-12-01,530
2018-01-01,584
2018-02-01,560
2018-03-01,711
2018-04-01,703
2018-05-01,755
2018-06-01,631
2018-07-01,610
2018-08-01,758
2018-09-01,760
2018-10-01,720
2018-11-01,698
2018-12-01,729
2019-01-01,325
2019-02-01,505
2019-03-01,637
2019-04-01,658
2019-05-01,526
2019-06-01,604
2019-07-01,602
2019-08-01,576
2019-09-01,613
2019-10-01,628
2019-11-01,722
2019-12-01,738
2020-01-01,587
2020-02-01,686
2020-03-01,921
2020-04-01,119
2020-05-01,282
2020-06-01,789
2020-07-01,1085
2020-08-01,782
2020-09-01,780
2020-10-01,817
2020-11-01,808
2020-12-01,662
2021-01-01,624
2021-02-01,658
2021-03-01,905
2021-04-01,1012
2021-05-01,847
2021-06-01,596
2021-07-01,511
2021-08-01,531
2021-09-01,631
2021-10-01,307
2021-11-01,240
2021-12-01,421
